1632182400, 5, 10
1632268800, 15, 2
1632355200, 8, 12
1632441600, 18, 7
1632528000, 3, 19
1632614400, 14, 0
1632700800, 1, 16
1632787200, 6, 4
1632873600, 9, 11
1632960000, 17, 13
1633046400, 2, 8
1633132800, 12, 5
1633219200, 4, 18
1633305600, 10, 3
1633392000, 0, 6
1633478400, 13, 1
1633564800, 7, 15
1633651200, 11, 9
1633737600, 16, 14
1633824000, 8, 2
1633910400, 19, 12
1633996800, 5, 7
1634083200, 15, 10
1634169600, 3, 0
1634256000, 18, 6
1634342400, 14, 4
1634428800, 1, 13
1634515200, 6, 8
1634601600, 9, 16
1634688000, 17, 11
1634774400, 2, 5
1634860800, 12, 1
1634947200, 4, 14
1635033600, 10, 9
1635120000, 0, 15
1635206400, 13, 19
1635292800, 7, 3
1635379200, 11, 18
1635465600, 16, 12
1635552000, 8, 10
1635638400, 19, 2
1635724800, 5, 16
1635811200, 15, 13
1635897600, 3, 4
1635984000, 18, 8
1636070400, 14, 11
1636156800, 1, 0
1636243200, 6, 7
1636329600, 9, 17
1636416000, 17, 6
1636502400, 2, 12
1636588800, 12, 3
1636675200, 4, 5
1636761600, 10, 8
1636848000, 0, 9
1636934400, 13, 15
1637020800, 7, 1
1637107200, 11, 14
1637193600, 16, 18
1637280000, 8, 16
1637366400, 19, 6
1637452800, 5, 12
1637539200, 15, 4
1637625600, 3, 2
1637712000, 18, 17
1637798400, 14, 10
1637884800, 1, 5
1637971200, 6, 11
1638057600, 9, 8
1638144000, 17, 3
1638230400, 2, 18
1638316800, 12, 0
1638403200, 4, 19
1638489600, 10, 7
1638576000, 0, 1
1638662400, 13, 9
1638748800, 7, 14
1638835200, 11, 15
1638921600, 16, 8
1639008000, 8, 13
1639094400, 19, 10
1639180800, 5, 0
1639267200, 15, 6
1639353600, 3, 12
1639440000, 18, 5
1639526400, 14, 2
1639612800, 1, 4
1639699200, 6, 16
1639785600, 9, 3
1639872000, 17, 11
1639958400, 2, 7
